No;Nama Kabupaten / Kota;Kode Kabupaten / Kota;;
1;Kab. Simeulue;1101;;
2;Kab. Aceh Singkil;1102;;
3;Kab. Aceh Selatan;1103;;
4;Kab. Aceh Tenggara;1104;;
5;Kab. Aceh Timur;1105;;
6;Kab. Aceh Tengah;1106;;
7;Kab. Aceh Barat;1107;;
8;Kab. Aceh Besar;1108;;
9;Kab. Pidie;1109;;
10;Kab. Bireuen;1110;;
11;Kab. Aceh Utara;1111;;
12;Kab. Aceh Barat Daya;1112;;
13;Kab. Gayo Lues;1113;;
14;Kab. Aceh Tamiang;1114;;
15;Kab. Nagan Raya;1115;;
16;Kab. Aceh Jaya;1116;;
17;Kab. Bener Meriah;1117;;
18;Kab. Pidie Jaya;1118;;
19;Kota Banda Aceh;1171;;
20;Kota Sabang;1172;;
21;Kota Langsa;1173;;
22;Kota Lhokseumawe;1174;;
23;Kota Subulussalam;1175;;
24;Kab. Nias;1201;;
25;Kab. Mandailing Natal;1202;;
26;Kab. Tapanuli Selatan;1203;;
27;Kab. Tapanuli Tengah;1204;;
28;Kab. Tapanuli Utara;1205;;
29;Kab. Toba;1206;;
30;Kab. Labuhanbatu;1207;;
31;Kab. Asahan;1208;;
32;Kab. Simalungun;1209;;
33;Kab. Dairi;1210;;
34;Kab. Karo;1211;;
35;Kab. Deli Serdang;1212;;
36;Kab. Langkat;1213;;
37;Kab. Nias Selatan;1214;;
38;Kab. Humbang Hasundutan;1215;;
39;Kab. Pakpak Bharat;1216;;
40;Kab. Samosir;1217;;
41;Kab. Serdang Bedagai;1218;;
42;Kab. Batu Bara;1219;;
43;Kab. Padang Lawas Utara;1220;;
44;Kab. Padang Lawas;1221;;
45;Kab. Labuhanbatu Selatan;1222;;
46;Kab. Labuhanbatu Utara;1223;;
47;Kab. Nias Utara;1224;;
48;Kab. Nias Barat;1225;;
49;Kota Sibolga;1271;;
50;Kota Tanjung Balai;1272;;
51;Kota Pematangsiantar;1273;;
52;Kota Tebing Tinggi;1274;;
53;Kota Medan;1275;;
54;Kota Binjai;1276;;
55;Kota Padang Sidempuan;1277;;
56;Kota Gunungsitoli;1278;;
57;Kab. Kepulauan Mentawai;1301;;
58;Kab. Pesisir Selatan;1302;;
59;Kab. Solok;1303;;
60;Kab. Sijunjung;1304;;
61;Kab. Tanah Datar;1305;;
62;Kab. Padang Pariaman;1306;;
63;Kab. Agam;1307;;
64;Kab. Lima Puluh Kota;1308;;
65;Kab. Pasaman;1309;;
66;Kab. Solok Selatan;1310;;
67;Kab. Dharmasraya;1311;;
68;Kab. Pasaman Barat;1312;;
69;Kota Padang;1371;;
70;Kota Solok;1372;;
71;Kota Sawahlunto;1373;;
72;Kota Padang Panjang;1374;;
73;Kota Bukittinggi;1375;;
74;Kota Payakumbuh;1376;;
75;Kota Pariaman;1377;;
76;Kab. Kuantan Singingi;1401;;
77;Kab. Indragiri Hulu;1402;;
78;Kab. Indragiri Hilir;1403;;
79;Kab. Pelalawan;1404;;
80;Kab. Siak;1405;;
81;Kab. Kampar;1406;;
82;Kab. Rokan Hulu;1407;;
83;Kab. Bengkalis;1408;;
84;Kab. Rokan Hilir;1409;;
85;Kab. Kepulauan Meranti;1410;;
86;Kota Pekanbaru;1471;;
87;Kota Dumai;1473;;
88;Kab. Kerinci;1501;;
89;Kab. Merangin;1502;;
90;Kab. Sarolangun;1503;;
91;Kab. Batanghari;1504;;
92;Kab. Muaro Jambi;1505;;
93;Kab. Tanjung Jabung Timur;1506;;
94;Kab. Tanjung Jabung Barat;1507;;
95;Kab. Tebo;1508;;
96;Kab. Bungo;1509;;
97;Kota Jambi;1571;;
98;Kota Sungai Penuh;1572;;
99;Kab. Ogan Komering Ulu;1601;;
100;Kab. Ogan Komering Ilir;1602;;
101;Kab. Muara Enim;1603;;
102;Kab. Lahat;1604;;
103;Kab. Musi Rawas;1605;;
104;Kab. Musi Banyuasin;1606;;
105;Kab. Banyuasin;1607;;
106;Kab. Ogan Komering Ulu Selatan;1608;;
107;Kab. Ogan Komering Ulu Timur;1609;;
108;Kab. Ogan Ilir;1610;;
109;Kab. Empat Lawang;1611;;
110;Kab. Penukal Abab Lematang Ilir;1612;;
111;Kab. Musi Rawas Utara;1613;;
112;Kota Palembang;1671;;
113;Kota Prabumulih;1672;;
114;Kota Pagar Alam;1673;;
115;Kota Lubuk Linggau;1674;;
116;Kab. Bengkulu Selatan;1701;;
117;Kab. Rejang Lebong;1702;;
118;Kab. Bengkulu Utara;1703;;
119;Kab. Kaur;1704;;
120;Kab. Seluma;1705;;
121;Kab. Muko Muko;1706;;
122;Kab. Lebong;1707;;
123;Kab. Kepahiang;1708;;
124;Kab. Bengkulu Tengah;1709;;
125;Kota Bengkulu;1771;;
126;Kab. Lampung Barat;1801;;
127;Kab. Tanggamus;1802;;
128;Kab. Lampung Selatan;1803;;
129;Kab. Lampung Timur;1804;;
130;Kab. Lampung Tengah;1805;;
131;Kab. Lampung Utara;1806;;
132;Kab. Way Kanan;1807;;
133;Kab. Tulang Bawang;1808;;
134;Kab. Pesawaran;1809;;
135;Kab. Pringsewu;1810;;
136;Kab. Mesuji;1811;;
137;Kab. Tulang Bawang Barat;1812;;
138;Kab. Pesisir Barat;1813;;
139;Kota Bandar Lampung;1871;;
140;Kota Metro;1872;;
141;Kab. Bangka;1901;;
142;Kab. Belitung;1902;;
143;Kab. Bangka Barat;1903;;
144;Kab. Bangka Tengah;1904;;
145;Kab. Bangka Selatan;1905;;
146;Kab. Belitung Timur;1906;;
147;Kota Pangkal Pinang;1971;;
148;Kab. Karimun;2101;;
149;Kab. Bintan;2102;;
150;Kab. Natuna;2103;;
151;Kab. Lingga;2104;;
152;Kab. Kepulauan Anambas;2105;;
153;Kota Batam;2171;;
154;Kota Tanjung Pinang;2172;;
