id_ndvi,nama_ndvi,id_bps,nama_bps
14.01,Kampar,1406,KAB. KAMPAR
16.71,Kota Palembang,1671,KOTA PALEMBANG
15.07,Tanjung Jabung Timur,1506,KAB. TANJUNG JABUNG TIMUR
17.01,Bengkulu Selatan,1701,KAB. BENGKULU SELATAN
12.09,Asahan,1208,KAB. ASAHAN
13.07,Lima Puluh Kota,1308,KAB. LIMA PULUH KOTA
21.72,Kota Tanjung Pinang,2172,KOTA TANJUNG PINANG
21.05,Kepulauan Anambas,2105,KAB. KEPULAUAN ANAMBAS
11.11,Bireuen,1110,KAB. BIREUEN
15.08,Bungo,1509,KAB. BUNGO
16.03,Muara Enim,1603,KAB. MUARA ENIM
11.12,Aceh Barat Daya,1112,KAB. ACEH BARAT DAYA
15.71,Kota Jambi,1571,KOTA JAMBI
11.04,Aceh Tengah,1106,KAB. ACEH TENGAH
11.07,Pidie,1109,KAB. PIDIE
13.02,Solok,1303,KAB. SOLOK
15.72,Kota Sungai Penuh,1572,KOTA SUNGAI PENUH
11.06,Aceh Besar,1108,KAB. ACEH BESAR
12.16,Humbang Hasundutan,1215,KAB. HUMBANG HASUNDUTAN
15.09,Tebo,1508,KAB. TEBO
12.01,Tapanuli Tengah,1204,KAB. TAPANULI TENGAH
18.02,Lampung Tengah,1805,KAB. LAMPUNG TENGAH
14.09,Kuantan Singingi,1401,KAB. KUANTAN SINGINGI
18.72,Kota Metro,1872,KOTA METRO
12.13,Mandailing Natal,1202,KAB. MANDAILING NATAL
11.15,Nagan Raya,1115,KAB. NAGAN RAYA
19.06,Belitung Timur,1906,KAB. BELITUNG TIMUR
19.02,Belitung,1902,KAB. BELITUNG
19.03,Bangka Selatan,1905,KAB. BANGKA SELATAN
13.12,Pasaman Barat,1312,KAB. PASAMAN BARAT
12.10,Labuhanbatu,1207,KAB. LABUHANBATU
17.07,Lebong,1707,KAB. LEBONG
21.01,Bintan,2102,KAB. BINTAN
18.05,Tulang Bawang,1808,KAB. TULANG BAWANG
13.71,Kota Padang,1371,KOTA PADANG
12.24,Nias Utara,1224,KAB. NIAS UTARA
18.11,Mesuji,1811,KAB. MESUJI
13.01,Pesisir Selatan,1302,KAB. PESISIR SELATAN
12.78,Kota Gunungsitoli,1278,KOTA GUNUNGSITOLI
11.18,Pidie Jaya,1118,KAB. PIDIE JAYA
13.72,Kota Solok,1372,KOTA SOLOK
12.03,Tapanuli Selatan,1203,KAB. TAPANULI SELATAN
13.03,Sijunjung,1304,KAB. SIJUNJUNG
15.01,Kerinci,1501,KAB. KERINCI
13.04,Tanah Datar,1305,KAB. TANAH DATAR
12.76,Kota Tebing Tinggi,1274,KOTA TEBING TINGGI
12.25,Nias Barat,1225,KAB. NIAS BARAT
19.05,Bangka Barat,1903,KAB. BANGKA BARAT
12.22,Labuhanbatu Selatan,1222,KAB. LABUHANBATU SELATAN
12.72,Kota Pematangsiantar,1273,KOTA PEMATANGSIANTAR
17.08,Kepahiang,1708,KAB. KEPAHIANG
11.17,Bener Meriah,1117,KAB. BENER MERIAH
18.01,Lampung Selatan,1803,KAB. LAMPUNG SELATAN
17.71,Kota Bengkulu,1771,KOTA BENGKULU
14.05,Pelalawan,1404,KAB. PELALAWAN
12.05,Langkat,1213,KAB. LANGKAT
15.02,Merangin,1502,KAB. MERANGIN
18.13,Pesisir Barat,1813,KAB. PESISIR BARAT
11.01,Aceh Selatan,1103,KAB. ACEH SELATAN
17.09,Bengkulu Tengah,1709,KAB. BENGKULU TENGAH
16.13,Musi Rawas Utara,1613,KAB. MUSI RAWAS UTARA
19.04,Bangka Tengah,1904,KAB. BANGKA TENGAH
11.75,Kota Subulussalam,1175,KOTA SUBULUSSALAM
19.71,Kota Pangkal Pinang,1971,KOTA PANGKAL PINANG
21.02,Karimun,2101,KAB. KARIMUN
13.10,Dharmasraya,1311,KAB. DHARMASRAYA
14.02,Indragiri Hulu,1402,KAB. INDRAGIRI HULU
12.12,Toba,1206,KAB. TOBA
11.14,Aceh Jaya,1116,KAB. ACEH JAYA
12.20,Padang Lawas Utara,1220,KAB. PADANG LAWAS UTARA
15.03,Sarolangun,1503,KAB. SAROLANGUN
11.72,Kota Sabang,1172,KOTA SABANG
12.18,Serdang Bedagai,1218,KAB. SERDANG BEDAGAI
15.04,Batanghari,1504,KAB. BATANGHARI
16.10,Ogan Ilir,1610,KAB. OGAN ILIR
14.06,Rokan Hulu,1407,KAB. ROKAN HULU
18.71,Kota Bandar Lampung,1871,KOTA BANDAR LAMPUNG
13.09,Kepulauan Mentawai,1301,KAB. KEPULAUAN MENTAWAI
12.77,Kota Padang Sidempuan,1277,KOTA PADANG SIDEMPUAN
13.76,Kota Payakumbuh,1376,KOTA PAYAKUMBUH
16.04,Lahat,1604,KAB. LAHAT
12.02,Tapanuli Utara,1205,KAB. TAPANULI UTARA
12.17,Samosir,1217,KAB. SAMOSIR
13.08,Pasaman,1309,KAB. PASAMAN
14.71,Kota Pekanbaru,1471,KOTA PEKANBARU
12.71,Kota Medan,1275,KOTA MEDAN
17.02,Rejang Lebong,1702,KAB. REJANG LEBONG
11.02,Aceh Tenggara,1104,KAB. ACEH TENGGARA
11.08,Aceh Utara,1111,KAB. ACEH UTARA
21.71,Kota Batam,2171,KOTA BATAM
11.71,Kota Banda Aceh,1171,KOTA BANDA ACEH
16.02,Ogan Komering Ilir,1602,KAB. OGAN KOMERING ILIR
18.06,Tanggamus,1802,KAB. TANGGAMUS
12.21,Padang Lawas,1221,KAB. PADANG LAWAS
14.07,Rokan Hilir,1409,KAB. ROKAN HILIR
16.11,Empat Lawang,1611,KAB. EMPAT LAWANG
12.15,Pakpak Bharat,1216,KAB. PAKPAK BHARAT
12.19,Batu Bara,1219,KAB. BATU BARA
16.74,Kota Prabumulih,1672,KOTA PRABUMULIH
16.07,Banyuasin,1607,KAB. BANYUASIN
16.01,Ogan Komering Ulu,1601,KAB. OGAN KOMERING ULU
16.72,Kota Pagar Alam,1673,KOTA PAGAR ALAM
11.03,Aceh Timur,1105,KAB. ACEH TIMUR
14.08,Siak,1405,KAB. SIAK
13.05,Padang Pariaman,1306,KAB. PADANG PARIAMAN
18.12,Tulang Bawang Barat,1812,KAB. TULANG BAWANG BARAT
12.14,Nias Selatan,1214,KAB. NIAS SELATAN
13.74,Kota Padang Panjang,1374,KOTA PADANG PANJANG
18.09,Pesawaran,1809,KAB. PESAWARAN
12.04,Nias,1201,KAB. NIAS
14.03,Bengkalis,1408,KAB. BENGKALIS
17.04,Kaur,1704,KAB. KAUR
17.06,Muko Muko,1706,KAB. MUKO MUKO
11.13,Gayo Lues,1113,KAB. GAYO LUES
17.03,Bengkulu Utara,1703,KAB. BENGKULU UTARA
12.07,Deli Serdang,1212,KAB. DELI SERDANG
12.73,Kota Sibolga,1271,KOTA SIBOLGA
13.73,Kota Sawahlunto,1373,KOTA SAWAHLUNTO
12.06,Karo,1211,KAB. KARO
16.09,Ogan Komering Ulu Selatan,1608,KAB. OGAN KOMERING ULU SELATAN
11.10,Aceh Singkil,1102,KAB. ACEH SINGKIL
16.06,Musi Banyuasin,1606,KAB. MUSI BANYUASIN
21.04,Lingga,2104,KAB. LINGGA
18.04,Lampung Barat,1801,KAB. LAMPUNG BARAT
21.03,Natuna,2103,KAB. NATUNA
11.05,Aceh Barat,1107,KAB. ACEH BARAT
13.11,Solok Selatan,1310,KAB. SOLOK SELATAN
11.73,Kota Lhokseumawe,1174,KOTA LHOKSEUMAWE
11.16,Aceh Tamiang,1114,KAB. ACEH TAMIANG
13.75,Kota Bukittinggi,1375,KOTA BUKITTINGGI
17.05,Seluma,1705,KAB. SELUMA
16.12,Penukal Abab Lematang Ilir,1612,KAB. PENUKAL ABAB LEMATANG ILIR
12.11,Dairi,1210,KAB. DAIRI
14.72,Kota Dumai,1473,KOTA DUMAI
16.05,Musi Rawas,1605,KAB. MUSI RAWAS
14.04,Indragiri Hilir,1403,KAB. INDRAGIRI HILIR
15.05,Muaro Jambi,1505,KAB. MUARO JAMBI
13.77,Kota Pariaman,1377,KOTA PARIAMAN
16.73,Kota Lubuk Linggau,1674,KOTA LUBUK LINGGAU
18.03,Lampung Utara,1806,KAB. LAMPUNG UTARA
18.07,Lampung Timur,1804,KAB. LAMPUNG TIMUR
18.10,Pringsewu,1810,KAB. PRINGSEWU
11.74,Kota Langsa,1173,KOTA LANGSA
12.75,Kota Binjai,1276,KOTA BINJAI
12.08,Simalungun,1209,KAB. SIMALUNGUN
15.06,Tanjung Jabung Barat,1507,KAB. TANJUNG JABUNG BARAT
12.74,Kota Tanjung Balai,1272,KOTA TANJUNG BALAI
12.23,Labuhanbatu Utara,1223,KAB. LABUHANBATU UTARA
16.08,Ogan Komering Ulu Timur,1609,KAB. OGAN KOMERING ULU TIMUR
13.06,Agam,1307,KAB. AGAM
18.08,Way Kanan,1807,KAB. WAY KANAN
14.10,Kepulauan Meranti,1410,KAB. KEPULAUAN MERANTI
19.01,Bangka,1901,KAB. BANGKA
11.09,Simeulue,1101,KAB. SIMEULUE
